Point ID,Points_0,Points_1,Points_2,Points_Magnitude,Result,absOmega,f,fs,l,l2,omega,p,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,vtkValidPointMask
15,9.76847,0.123851,0,9.76926,0.123907,7.69308,0.5,0,13,-18.187,-7.69308,0.339184,1.34535,-0.126268,0.0654916,1.35285,0,1
16,9.76424,0.122222,0,9.765,0.122278,6.58545,0.5,0,13,-10.5248,-6.58545,0.340056,1.34273,-0.119247,0.0575242,1.34924,0,1
17,9.75747,0.11961,0,9.7582,0.119667,6.01681,0.5,0,12.9037,-2.50304,-6.01681,0.342409,1.34274,-0.108829,0.0406105,1.34776,0,1
18,9.86299,0.166667,0,9.8644,0.166708,4.51586,0.5,0,12.8249,2.9163,-4.51586,0.374521,1.4526,-0.193478,0.0345731,1.46583,0,1
19,9.8675,0.169184,0,9.86895,0.169225,3.79428,0.5,0,12.7681,3.83345,-3.79428,0.375383,1.45583,-0.184949,0.0303563,1.46784,0,1
20,9.8785,0.172345,0,9.88,0.172385,2.45503,0.5,0,12.7666,6.59048,-2.45503,0.379689,1.45573,-0.169119,0.0194903,1.46565,0,1
21,9.85649,0.163226,0,9.85785,0.163268,4.96813,0.5,0,13,2.16297,-4.96813,0.367926,1.44912,-0.201599,0.0447952,1.46376,0,1
22,9.84822,0.159259,0,9.8495,0.159302,6.52266,0.5,0,13,-6.26437,-6.52266,0.364987,1.4417,-0.210347,0.058861,1.45816,0,1
23,9.75197,0.118066,0,9.75269,0.118077,5.31654,0.5,0,12.8575,3.35949,-5.31654,0.343639,1.3398,-0.100884,0.0294824,1.34392,0,1
24,9.73546,0.113438,0,9.73612,0.113488,1.92333,0.5,0,12.8142,13.7668,-1.92333,0.351466,1.34004,-0.082227,-0.0056815,1.34258,0,1
25,9.74048,0.114815,-4.33681e-19,9.74116,0.114863,2.73883,0.5,0,12.9965,13.7442,-2.73883,0.348442,1.33944,-0.0862944,0.0055334,1.34222,0,1
26,9.73149,0.11238,0,9.73213,0.11239,1.45619,0.5,0,12.8712,13.3364,-1.45619,0.352722,1.34262,-0.080263,-0.0137875,1.34509,0,1
27,9.72993,0.112001,0,9.73057,0.112012,1.17293,0.5,0,12.9295,13.9568,-1.17293,0.353178,1.34394,-0.0784068,-0.0172008,1.34634,0,1
28,9.8895,0.177499,0,9.89109,0.177538,1.29131,0.5,0,12.7912,4.10428,-1.29131,0.380907,1.45714,-0.145574,0.0104863,1.46444,0,1
29,9.89511,0.179107,0,9.89673,0.179112,0.44184,0.5,0,12.8762,2.93665,-0.44184,0.384082,1.45719,-0.133634,0.00618749,1.46331,0,1
30,9.88205,0.174074,0,9.88358,0.174113,2.1658,0.5,0,12.931,6.42789,-2.1658,0.380341,1.45863,-0.162688,0.0147969,1.46775,0,1
31,9.90672,0.182908,0,9.90841,0.182913,0.721336,0.5,0,12.9218,0.327042,0.721336,0.388784,1.4573,-0.106147,0.000584694,1.46116,0,1
32,9.91151,0.184574,0,9.91323,0.184611,0.751113,0.5,0,12.7767,-0.545923,0.751113,0.387978,1.4555,-0.0930885,0.00127406,1.45847,0,1
33,9.92251,0.186236,0,9.92426,0.186273,1.55281,0.5,0,12.6419,-3.62822,1.55281,0.386986,1.44924,-0.0715612,-0.000141541,1.451,0,1
34,9.92808,0.187274,0,9.92985,0.187279,2.76413,0.5,0,12.782,-8.18497,2.76413,0.387361,1.44863,-0.0588852,-6.68998e-05,1.44983,0,1
35,9.71928,0.109285,0,9.7199,0.109287,0.341292,0.5,0,13,12.2544,0.341292,0.35791,1.35228,-0.0767573,-0.0397332,1.35504,0,1
36,9.72446,0.110502,0,9.72509,0.110564,0.680087,0.5,0,13,12.8139,-0.642186,0.355223,1.34764,-0.076378,-0.0284813,1.3501,0,1
37,9.70246,0.105089,0,9.70302,0.105154,2.50103,0.5,0,13,1.96992,2.50103,0.365884,1.36891,-0.0833168,-0.0731975,1.3734,0,1
38,9.707,0.106088,0,9.70758,0.10609,2.33937,0.5,0,13,5.70763,2.33937,0.363974,1.36437,-0.0816596,-0.0657308,1.36839,0,1
39,9.69145,0.102604,0,9.692,0.102671,3.20323,0.5,0,13,-5.30803,3.20323,0.370802,1.38099,-0.0921569,-0.0897223,1.38697,0,1
40,9.68654,0.101459,0,9.68707,0.10146,3.9476,0.5,0,13,-8.39979,3.9476,0.373166,1.38649,-0.0979578,-0.0973214,1.39334,0,1
41,9.68649,0.101442,0,9.68702,0.101443,3.96398,0.5,0,13,-8.44823,3.96398,0.373179,1.38652,-0.0980291,-0.0974311,1.3934,0,1
42,9.68045,0.0998187,0,9.68097,0.0998242,4.94641,0.5,0,13,-12.89,4.94641,0.377066,1.39287,-0.105009,-0.10821,1.40101,0,1
43,9.68104,0.1,0,9.68156,0.100005,4.9936,0.5,0,13,-12.7834,4.9936,0.376797,1.39244,-0.104365,-0.107502,1.40048,0,1
44,9.67498,0.0982071,0,9.67548,0.0982082,4.60887,0.5,0,13,-12.8895,4.60887,0.377592,1.39775,-0.112913,-0.112399,1.4068,0,1
45,9.67481,0.0981766,0,9.67531,0.0981777,4.61171,0.5,0,13,-12.9655,4.61171,0.377668,1.39794,-0.113098,-0.112515,1.40701,0,1
46,9.66395,0.0952521,0,9.66442,0.0952622,5.12434,0.5,0,13,-16.1685,5.12434,0.381469,1.4099,-0.128341,-0.123443,1.4211,0,1
47,9.66945,0.0967783,0,9.66993,0.0968492,4.38853,0.5,0,13,-13.6606,4.38853,0.379366,1.40306,-0.119772,-0.116734,1.41299,0,1
48,9.6419,0.0881058,0,9.64231,0.0881188,5.12433,0.5,0,13,-12.4519,5.12433,0.387489,1.43511,-0.164274,-0.144342,1.45167,0,1
49,9.64744,0.0899088,0,9.64786,0.089985,4.77598,0.5,0,13,-13.0081,4.77598,0.385989,1.42824,-0.154121,-0.138722,1.44321,0,1
50,9.65187,0.0913325,0,9.6523,0.0913433,5.48727,0.5,0,13,-15.8031,5.48727,0.384922,1.42401,-0.14762,-0.136548,1.43814,0,1
51,9.62544,0.0816659,0,9.62578,0.0817498,3.87538,0.5,0,13,-4.75009,3.87538,0.389986,1.45229,-0.192366,-0.15732,1.4734,0,1
52,9.63015,0.0835171,0,9.63051,0.0835314,4.63338,0.5,0,13,-8.21887,4.63338,0.389395,1.44809,-0.184796,-0.155416,1.46808,0,1
53,9.61692,0.0777778,0,9.61724,0.0778659,4.16076,0.5,0,13,-1.79199,4.16076,0.391177,1.46335,-0.209756,-0.16751,1.48777,0,1
54,9.94025,0.189525,0,9.94206,0.189529,4.20839,0.5,0,13,-12.9454,4.20839,0.387379,1.44639,-0.0310227,0.00242541,1.44672,0,1
55,9.94452,0.190263,0,9.94633,0.190299,3.54541,0.5,0,13,-8.89519,3.54541,0.386551,1.44425,-0.0226827,0.00489855,1.44444,0,1
56,9.95552,0.191273,0,9.95736,0.191309,2.86731,0.5,0,13,-5.28621,2.86731,0.383695,1.43696,-0.00433713,0.0103794,1.437,0,1
57,9.96652,0.191654,0,9.96836,0.19169,2.11207,0.5,0,13,-2.86273,2.11207,0.379969,1.43061,0.0131426,0.0163238,1.43076,0,1
58,9.97752,0.191687,0,9.97936,0.191723,1.47362,0.5,0,13,-0.526456,1.47362,0.374837,1.42133,0.0269443,0.0242002,1.42179,0,1
59,9.98853,0.191454,0,9.99036,0.19149,0.679715,0.5,0,13,2.46632,0.679715,0.369271,1.41242,0.0373008,0.0330932,1.4133,0,1
60,9.61443,0.076392,0,9.61474,0.0764817,3.87768,0.5,0,13,-0.699256,3.87768,0.391347,1.46532,-0.21379,-0.170254,1.49059,0,1
61,9.60343,0.0713289,0,9.6037,0.071425,3.07807,0.5,0,13,4.26838,3.07807,0.392418,1.47629,-0.232945,-0.178005,1.50511,0,1
62,9.99953,0.190937,0,10.0014,0.190973,0.699865,0.5,0,13,3.32167,-0.499091,0.363404,1.40381,0.0447247,0.0409432,1.40512,0,1
63,9.60196,0.0703704,0,9.60221,0.0704678,3.02339,0.5,0,13,4.73951,3.02339,0.392413,1.47845,-0.235681,-0.181091,1.50803,0,1
64,9.59243,0.0650804,0,9.59265,0.0651858,2.10261,0.5,0,13,7.94557,2.10261,0.392617,1.48636,-0.250505,-0.188275,1.51903,0,1
65,9.58925,0.062963,0,9.58945,0.0630718,1.91759,0.5,0,13,8.79081,1.91759,0.392581,1.49003,-0.255885,-0.194835,1.52434,0,1
66,10.0105,0.189987,0,10.0123,0.190023,1.83128,0.5,0,13,3.27615,-1.83128,0.357179,1.39324,0.0472142,0.0469645,1.39483,0,1
67,10.015,0.189469,0,10.0168,0.189471,2.73015,0.5,0,13,1.21296,-2.73015,0.354809,1.38745,0.0448016,0.0487055,1.38903,0,1
68,9.58143,0.0578073,0,9.5816,0.0579258,1.45092,0.5,0,13,9.75775,1.45092,0.392147,1.49607,-0.2684,-0.204458,1.53364,0,1
69,9.57787,0.0555556,0,9.57803,0.0556789,1.34912,0.5,0,12.8125,9.41434,1.34912,0.392114,1.50008,-0.273067,-0.208608,1.53894,0,1
70,9.57042,0.0493081,0,9.57055,0.049447,0.968266,0.5,0,12.931,8.98527,0.968266,0.390923,1.5065,-0.286988,-0.223449,1.54979,0,1
71,9.56883,0.0481481,0,9.56895,0.0482904,0.892777,0.5,0,12.9406,8.82199,0.892777,0.390907,1.5081,-0.289352,-0.226823,1.55227,0,1
72,9.56174,0.0407407,0,9.56183,0.0409087,0.634269,0.5,0,12.7892,7.06083,0.634269,0.38943,1.51314,-0.299708,-0.248362,1.56241,0,1
73,9.55942,0.0392064,0,9.5595,0.0393809,0.564464,0.5,0,12.7929,7.03209,0.564464,0.389022,1.51459,-0.303303,-0.251323,1.56497,0,1
74,9.55337,0.0333333,0,9.55343,0.0335385,0.137321,0.5,0,12.5497,5.46072,0.137321,0.38762,1.51869,-0.310583,-0.267968,1.57311,0,1
75,9.54842,0.0289225,0,9.54846,0.0291587,0.286827,0.5,0,13,5.80473,-0.286827,0.386799,1.52495,-0.320002,-0.273177,1.58193,0,1
76,9.54453,0.0259259,0,9.54457,0.0261891,0.339022,0.5,0,12.8491,5.45638,-0.339022,0.386722,1.52809,-0.323488,-0.278672,1.58662,0,1
77,9.5397,0.0185185,0,9.53972,0.0188853,0.838023,0.5,0,12.7921,5.0377,-0.838023,0.384751,1.52672,-0.331564,-0.30168,1.59117,0,1
78,10.1507,0.188889,0,10.1524,0.188889,0.220272,0.5,0,13,-2.8938,-0.220272,0.362453,1.39072,-0.0285899,-0.0174277,1.39112,0,1
79,10.1536,0.188964,0,10.1553,0.188967,0.285884,0.5,0,13,-2.71217,-0.285884,0.362114,1.39138,-0.0249459,-0.016423,1.3917,0,1
80,10.1646,0.189191,0,10.1663,0.189205,1.3813,0.5,0,13,-1.31246,-1.3813,0.359601,1.39199,-0.0139253,-0.0122006,1.39211,0,1
81,9.52973,0.00730024,0,9.52973,0.00738736,0.879334,0.5,0,12.7217,5.56955,-0.879334,0.38182,1.53041,-0.345467,-0.326273,1.60249,0,1
82,9.53226,0.0111111,0,9.53227,0.0117121,0.682545,0.5,0,12.5075,4.76929,-0.682545,0.380674,1.52962,-0.340168,-0.31664,1.59866,0,1
83,9.53742,0.0167641,0,9.53743,0.017169,0.950433,0.5,0,12.9265,4.94444,-0.950433,0.382931,1.52857,-0.334782,-0.3053,1.59431,0,1
84,10.1696,0.189486,0,10.1713,0.189488,2.26985,0.5,0,12.9818,-0.453617,-2.26985,0.358091,1.39164,-0.0103057,-0.0101579,1.39171,0,1
85,10.1703,0.189473,0,10.1721,0.189476,2.3723,0.5,0,12.9818,-0.396555,-2.3723,0.35785,1.39153,-0.0099234,-0.0100382,1.3916,0,1
86,10.1756,0.189723,0,10.1773,0.189759,3.25331,0.5,0,12.9511,0.387256,-3.25331,0.356265,1.39177,-0.00643095,-0.00808573,1.39181,0,1
87,10.1866,0.189439,0,10.1883,0.189475,5.19118,0.5,0,12.972,-0.365839,-5.19118,0.352306,1.38661,-0.00611223,-0.00410455,1.38663,0,1
88,9.51883,-0.00752054,0,9.51884,0.00767604,1.96633,0.5,0,12.8508,6.06124,-1.96633,0.382222,1.53076,-0.366267,-0.359026,1.6144,0,1
89,9.52138,-0.0037037,0,9.52138,0.00523783,1.35515,0.5,0,12.75,5.46392,-1.35515,0.382907,1.53253,-0.359696,-0.351093,1.61286,0,1
90,9.52395,-0.000260657,0,9.52395,0.00109249,1.26872,0.5,0,12.898,6.00714,-1.26872,0.383479,1.53285,-0.35561,-0.344051,1.61073,0,1
91,10.1976,0.189877,0,10.1993,0.189913,7.00121,0.5,0,12.8666,-4.23525,-7.00121,0.349098,1.38586,-0.0134144,0.00150978,1.38592,0,1
92,10.2028,0.189913,0,10.2045,0.18992,7.54843,0.5,0,12.8618,-6.04088,-7.54843,0.34806,1.38474,-0.0187432,0.00270259,1.38487,0,1
93,10.2046,0.189973,0,10.2064,0.18998,7.71225,0.5,0,12.8536,-6.57033,-7.71225,0.347781,1.38491,-0.0207794,0.00290501,1.38507,0,1
94,10.2086,0.190019,0,10.2103,0.190054,8.1235,0.5,0,12.8475,-7.9238,-8.1235,0.347011,1.38426,-0.0249429,0.00374938,1.38449,0,1
95,10.2123,0.190121,0,10.2141,0.190128,8.27019,0.5,0,12.8337,-8.45942,-8.27019,0.3469,1.38526,-0.0296555,0.00340655,1.38558,0,1
96,10.2141,0.190159,0,10.2159,0.190166,8.30414,0.5,0,12.8285,-8.46036,-8.30414,0.346906,1.38576,-0.0318737,0.00317101,1.38613,0,1
97,10.2196,0.190319,0,10.2214,0.190355,8.54985,0.5,0,12.8069,-9.46721,-8.54985,0.34669,1.38721,-0.03879,0.00273258,1.38776,0,1
98,10.2306,0.190914,0,10.2324,0.19095,8.12956,0.5,0,12.7266,-7.19734,-8.12956,0.348001,1.39537,-0.0512442,-8.1057e-05,1.39631,0,1
99,10.2416,0.190943,0,10.2434,0.190979,7.24629,0.5,0,12.8628,-2.96101,-7.24629,0.350683,1.39939,-0.0593018,-0.0037358,1.40065,0,1
100,9.5107,-0.0185185,0,9.51071,0.0188853,2.50863,0.5,0,12.247,5.64356,-2.50863,0.375634,1.52114,-0.379507,-0.372539,1.61142,0,1
101,9.51307,-0.0151104,0,9.51308,0.0151502,2.53639,0.5,0,12.5494,6.17064,-2.53639,0.3783,1.52534,-0.37639,-0.369701,1.61401,0,1
102,9.50742,-0.0259259,0,9.50746,0.0261891,4.26052,0.5,0,12.726,4.07657,-4.26052,0.371019,1.5099,-0.393021,-0.383879,1.60674,0,1
103,10.2526,0.191157,0,10.2544,0.191192,5.93154,0.5,0,12.8511,0.692905,-5.93154,0.354091,1.4068,-0.0603361,-0.00589411,1.40811,0,1
104,10.2636,0.191166,0,10.2654,0.191202,5.00508,0.5,0,13,1.52244,-5.00508,0.357219,1.40769,-0.0580448,-0.00779443,1.40891,0,1
105,10.2746,0.191569,0,10.2764,0.191605,4.12421,0.5,0,13,2.3171,-4.12421,0.359108,1.41224,-0.0529656,-0.00787419,1.41325,0,1
106,10.2856,0.191852,0,10.2874,0.191887,3.55123,0.5,0,13,2.47511,-3.55123,0.359848,1.41554,-0.0455034,-0.00680846,1.41629,0,1
107,10.0919,-0.27037,0,10.0956,0.270396,20.4027,0.5,0,13,-125.703,20.4027,0.317733,1.37277,0.306376,0.0251302,1.40677,0,1
108,10.0876,-0.26765,0,10.0911,0.267676,21.0892,0.5,0,13,-138.275,21.0892,0.291951,1.32137,0.292975,0.000313105,1.35346,0,1
109,10.0986,-0.274401,0,10.1023,0.274426,11.9583,0.5,0,13,18.5906,11.9583,0.327535,1.436,0.300859,0.0552258,1.46821,0,1
110,10.1037,-0.277778,0,10.1075,0.277802,11.1777,0.5,0,13,18.4632,11.1777,0.348977,1.47871,0.286846,0.0775374,1.50827,0,1
111,10.0765,-0.263943,0,10.08,0.263969,34.5076,0.5,0,13,-542.549,34.5076,0.249951,1.18884,0.198729,-0.045026,1.20618,0,1
112,10.0727,-0.263358,0,10.0762,0.263363,36.9347,0.5,0,13,-634.727,36.9347,0.242504,1.15983,0.127045,-0.0474972,1.16774,0,1
113,10.1096,-0.281555,0,10.1135,0.28158,8.37121,0.5,0,13,35.1422,8.37121,0.352331,1.51077,0.266349,0.0895409,1.53668,0,1
114,10.1153,-0.285185,0,10.1193,0.285209,8.15903,0.5,0,13,29.77,8.15903,0.364937,1.53858,0.24661,0.103939,1.56168,0,1
115,10.0571,-0.262963,0,10.0605,0.26297,35.4551,0.5,0,13,-613.688,35.4551,0.22825,1.13436,-0.139003,0.00656548,1.14286,0,1
116,10.0545,-0.263676,0,10.058,0.263684,31.3548,0.5,0,13,-480.117,31.3548,0.231654,1.1565,-0.17902,0.0295084,1.17064,0,1
117,10.1206,-0.288483,0,10.1247,0.288506,7.6116,0.5,0,13,25.7333,7.6116,0.365988,1.55801,0.229081,0.10936,1.57855,0,1
118,10.1281,-0.292593,0,10.1323,0.292616,7.99544,0.5,0,13,22.6935,7.99544,0.373819,1.57917,0.209341,0.11343,1.59702,0,1
119,10.0528,-0.264527,0,10.0563,0.264553,27.8348,0.5,0,13,-378.005,27.8348,0.240387,1.18219,-0.189591,0.0490872,1.1983,0,1
120,10.0458,-0.268768,0,10.0494,0.268794,12.2108,0.5,0,13,-44.4952,12.2108,0.271507,1.2746,-0.212663,0.111645,1.29704,0,1
121,10.1316,-0.294738,0,10.1358,0.294761,7.43951,0.5,0,13,20.4325,7.43951,0.374081,1.58987,0.200984,0.117058,1.60679,0,1
122,10.1426,-0.298665,0,10.147,0.298688,6.82623,0.5,0,13,14.7291,6.82623,0.379598,1.60566,0.181275,0.10608,1.61934,0,1
123,10.0436,-0.27037,0,10.0473,0.270371,6.65713,0.5,0,13,31.3247,6.65713,0.278641,1.29699,-0.212331,0.123399,1.32004,0,1
124,10.0435,-0.270447,0,10.0472,0.270447,6.48224,0.5,0,13,34.7775,6.48224,0.278698,1.2979,-0.212432,0.123824,1.32099,0,1
125,10.145,-0.3,0,10.1494,0.300023,6.79818,0.5,0,13,14.028,6.79818,0.38115,1.61262,0.176398,0.108934,1.62589,0,1
126,10.1536,-0.303426,0,10.1581,0.303448,2.84359,0.5,0,13,14.1099,2.84359,0.382666,1.62795,0.158238,0.113763,1.63957,0,1
127,10.1646,-0.305662,0,10.1692,0.305685,1.20566,0.5,0,12.7644,11.8634,1.20566,0.390065,1.63091,0.133881,0.0956998,1.63919,0,1
128,10.1717,-0.307407,0,10.1764,0.30743,1.76504,0.5,0,13,6.36031,-1.31938,0.393929,1.6349,0.120417,0.0931715,1.64197,0,1
129,10.0351,-0.281066,0,10.039,0.281066,3.28447,0.5,0,13,44.5974,3.28447,0.293549,1.43003,-0.171118,0.20252,1.4544,0,1
130,10.0351,-0.281085,0,10.039,0.281085,3.27034,0.5,0,13,44.4784,3.27034,0.293589,1.43024,-0.171015,0.202657,1.45462,0,1
131,10.0326,-0.285185,0,10.0366,0.285185,4.14436,0.5,0,13,40.1576,-4.05598,0.303751,1.46887,-0.151719,0.219435,1.4929,0,1
132,10.0325,-0.285275,0,10.0366,0.285275,4.15483,0.5,0,13,40.6949,-4.15483,0.303766,1.46915,-0.15141,0.219343,1.49313,0,1
133,10.1756,-0.308475,0,10.1802,0.308497,3.26813,0.5,0,13,4.29778,-3.26813,0.394814,1.63249,0.110354,0.0908924,1.63873,0,1
134,10.1866,-0.309272,0,10.1913,0.309294,8.00162,0.5,0,13,-7.77869,-8.00162,0.396794,1.62467,0.0793105,0.0848203,1.62881,0,1
135,10.1976,-0.308456,0,10.2022,0.308478,12.174,0.5,0,13,-26.9056,-12.174,0.396982,1.61849,0.0440789,0.0827111,1.6212,0,1
136,10.2022,-0.307407,0,10.2068,0.30743,13.7074,0.5,0,13,-32.0336,-13.7074,0.396481,1.61896,0.0291466,0.0831982,1.62136,0,1
137,10.0352,-0.369377,0,10.042,0.36938,30.2434,0.5,0,13,-17.8231,30.2434,0.314736,1.63739,0.207607,0.282798,1.67455,0,1
138,10.0354,-0.370395,0,10.0422,0.370398,30.2946,0.5,0,13,-12.524,30.2946,0.31388,1.63873,0.20787,0.285329,1.67632,0,1
139,10.0343,-0.366667,0,10.041,0.366682,30.9834,0.5,0,13,-39.4072,30.9834,0.316245,1.63578,0.193693,0.276951,1.67033,0,1
140,10.0325,-0.361896,0,10.0391,0.361902,26.7855,0.5,0,13,-8.35774,26.7855,0.319687,1.63344,0.165125,0.268307,1.66355,0,1
141,10.2196,-0.303256,0,10.2241,0.303278,10.3794,0.5,0,13,-20.332,-10.3794,0.39005,1.60604,-0.0333766,0.0911423,1.60897,0,1
142,10.2086,-0.305832,0,10.2132,0.305854,12.6686,0.5,0,13,-31.6058,-12.6686,0.394537,1.6139,0.00607738,0.0856354,1.61618,0,1
143,10.2271,-0.3,0,10.2315,0.300023,11.3479,0.5,0,13,-16.9446,-11.3479,0.387414,1.60465,-0.0609199,0.0895486,1.6083,0,1
144,10.0368,-0.374074,0,10.0438,0.374092,28.894,0.5,0,13,19.8693,28.894,0.311887,1.63997,0.23198,0.293899,1.68217,0,1
145,10.0381,-0.381481,0,10.0454,0.381499,24.7612,0.5,0,13,178.365,24.7612,0.304582,1.62051,0.243613,0.330528,1.67172,0,1
146,10.0402,-0.388889,0,10.0477,0.388907,35.798,0.5,0,13,-393.855,35.798,0.277194,1.52319,0.324266,0.341135,1.59425,0,1
147,10.2371,-0.295242,0,10.2413,0.295244,9.23493,0.5,0,13,-7.064,-9.23493,0.37847,1.5868,-0.0958941,0.0895872,1.59222,0,1
148,10.2364,-0.295511,0,10.2407,0.295512,9.43747,0.5,0,13,-7.79844,-9.43747,0.379015,1.58797,-0.0937074,0.0894405,1.59324,0,1
149,10.2416,-0.293085,0,10.2458,0.293092,9.31921,0.5,0,13,-4.04244,-9.31921,0.374795,1.57944,-0.111598,0.0887301,1.58587,0,1
150,10.2424,-0.292593,0,10.2465,0.2926,9.14419,0.5,0,13,-3.60935,-9.14419,0.37472,1.57823,-0.11428,0.0881445,1.58482,0,1
151,10.247,-0.289884,0,10.2511,0.289885,6.7853,0.5,0,13,2.83422,-6.7853,0.368343,1.56373,-0.12998,0.0849557,1.57142,0,1
152,10.2466,-0.290141,0,10.2507,0.290142,6.97625,0.5,0,13,2.2407,-6.97625,0.369108,1.56527,-0.128435,0.0853086,1.57284,0,1
153,10.2526,-0.286724,0,10.2566,0.286748,4.79456,0.5,0,13,10.1326,-4.79456,0.360715,1.5471,-0.148681,0.0806758,1.55632,0,1
154,10.255,-0.285185,0,10.2589,0.285209,3.5509,0.5,0,13,9.91817,-3.5509,0.360164,1.54068,-0.153333,0.0791654,1.55032,0,1
155,10.2636,-0.27996,0,10.2674,0.279985,2.458,0.5,0,13,17.2519,2.458,0.340719,1.49301,-0.173842,0.0706532,1.50476,0,1
156,10.0922,-0.388889,0,10.0997,0.388907,22.0963,0.5,0,13,-298.799,-22.0963,0.330034,0.795068,0.133317,0.0359928,0.806971,0,1
157,10.0986,-0.39027,0,10.1061,0.390287,51.4138,0.5,0,13,-840.291,-51.4138,0.275443,0.720628,0.0880367,0.00858908,0.726036,0,1
158,10.0876,-0.387789,0,10.095,0.387807,2.91968,0.5,0,13,205.829,2.27266,0.360443,0.844105,0.145881,0.0593374,0.858671,0,1
159,10.0765,-0.386966,0,10.084,0.386984,14.0308,0.5,0,13,43.7468,14.0308,0.413144,0.920922,-0.0115973,0.0930382,0.925682,0,1
160,10.0694,-0.388889,0,10.0769,0.388907,13.349,0.5,0,13,208.289,13.349,0.420084,0.938445,-0.167538,0.0961661,0.958121,0,1
161,10.1206,-0.386605,0,10.1279,0.386622,1.15253,0.5,0,13,144.323,0.135197,0.362252,0.820566,-0.0719475,0.0417178,0.82477,0,1
162,10.1316,-0.386412,0,10.1389,0.38643,2.39521,0.5,0,13,115.269,-2.29091,0.348329,0.80113,0.0563186,0.0322471,0.803755,0,1
163,10.1426,-0.38693,0,10.1499,0.386948,26.0267,0.5,0,13,-167.758,-26.0267,0.303834,0.748336,0.0455286,0.0153745,0.749877,0,1
164,10.1147,-0.387725,0,10.1222,0.387727,16.5735,0.5,0,13,-0.589568,-16.3088,0.335184,0.788692,-0.11535,0.0300663,0.797649,0,1
165,10.0655,-0.390111,0,10.0731,0.390128,6.04829,0.5,0,13,470.455,5.6779,0.410515,0.925851,-0.243137,0.0928999,0.961741,0,1
166,10.1536,-0.386508,0,10.1609,0.386525,20.712,0.5,0,13,-69.9583,-20.712,0.315461,0.757373,-0.0609575,0.0182383,0.760041,0,1
167,10.1646,-0.384997,0,10.1719,0.385015,6.52929,0.5,0,12.5254,69.9346,-6.52929,0.338108,0.77366,-0.0322675,0.0247244,0.774728,0,1
168,10.1756,-0.385355,0,10.1829,0.385372,9.60331,0.5,0,12.7644,28.1104,-9.60331,0.33133,0.771043,0.0175692,0.0212867,0.771537,0,1
169,10.1866,-0.385596,0,10.1939,0.385614,17.9889,0.5,0,13,-67.6316,-17.9889,0.317784,0.752915,-0.00024854,0.011847,0.753008,0,1
170,10.1976,-0.384925,0,10.2048,0.384943,12.1048,0.5,0,12.5351,1.58148,-12.1048,0.330352,0.759859,-0.0228154,0.0174023,0.7604,0,1
